Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SA05;31/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.073;m3/seg;;-;-;0
SA05;30/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.073;m3/seg;;-;-;0
SA05;29/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.075;m3/seg;;-;-;0
SA05;28/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.074;m3/seg;;-;-;0
SA05;28/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.079;m3/seg;;-;-;0
SA05;27/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.079;m3/seg;;-;-;0
SA05;27/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.083;m3/seg;;-;-;0
SA05;26/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.077;m3/seg;;-;-;0
SA05;26/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.09;m3/seg;;-;-;0
SA05;25/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.079;m3/seg;;-;-;0
SA05;25/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.093;m3/seg;;-;-;0
SA05;24/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.079;m3/seg;;-;-;0
SA05;24/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.098;m3/seg;;-;-;0
SA05;23/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.08;m3/seg;;-;-;0
SA05;23/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.104;m3/seg;;-;-;0
SA05;22/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.084;m3/seg;;-;-;0
SA05;22/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.11;m3/seg;;-;-;0
SA05;21/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.086;m3/seg;;-;-;0
SA05;21/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.12;m3/seg;;-;-;0
SA05;20/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.089;m3/seg;;-;-;0
SA05;20/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.124;m3/seg;;-;-;0
SA05;19/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.096;m3/seg;;-;-;0
SA05;19/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.131;m3/seg;;-;-;0
SA05;18/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.103;m3/seg;;-;-;0
SA05;18/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.144;m3/seg;;-;-;0
SA05;17/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.108;m3/seg;;-;-;0
SA05;17/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.159;m3/seg;;-;-;0
SA05;16/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.134;m3/seg;;-;-;0
SA05;16/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.186;m3/seg;;-;-;0
SA05;15/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.123;m3/seg;;-;-;0
SA05;15/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.236;m3/seg;;-;-;0
SA05;14/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.076;m3/seg;;-;-;0
SA05;14/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.348;m3/seg;;-;-;0
SA05;13/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.075;m3/seg;;-;-;0
SA05;13/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.643;m3/seg;;-;-;0
SA05;12/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.076;m3/seg;;-;-;0
SA05;12/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;1.349;m3/seg;;-;-;0
SA05;11/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.074;m3/seg;;-;-;0
SA05;11/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;2.401;m3/seg;;-;-;0
SA05;10/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.073;m3/seg;;-;-;0
SA05;10/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;4.967;m3/seg;;-;-;0
SA05;09/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.075;m3/seg;;-;-;0
SA05;09/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;2.705;m3/seg;;-;-;0
SA05;08/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.077;m3/seg;;-;-;0
SA05;08/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.326;m3/seg;;-;-;0
SA05;07/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.078;m3/seg;;-;-;0
SA05;07/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.195;m3/seg;;-;-;0
SA05;06/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.081;m3/seg;;-;-;0
SA05;06/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.149;m3/seg;;-;-;0
SA05;05/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.084;m3/seg;;-;-;0
SA05;05/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.155;m3/seg;;-;-;0
SA05;04/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.086;m3/seg;;-;-;0
SA05;04/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.099;m3/seg;;-;-;0
SA05;03/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.091;m3/seg;;-;-;0
SA05;03/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.095;m3/seg;;-;-;0
SA05;02/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.094;m3/seg;;-;-;0
SA05;02/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.101;m3/seg;;-;-;0
SA05;01/02/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.091;m3/seg;;-;-;0
SA05;01/01/2022;00:00;MANANTIALES;Aguas (Hidrología);Caudal medio diario;-;=;0.106;m3/seg;;-;-;0
