Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Calcio;-;=;57;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Magnesio;-;=;2.1;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Potasio;-;=;0.9;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Sodio;-;=;5.7;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Residuo seco;-;<;200;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Conductividad;-;=;278;µS/cm;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);pH;-;=;8;U. pH.;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Temperatura del agua;-;=;12.2;ºC;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Ortofosfato;-;=;0.08;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Nitrato;-;=;5.05;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Bicarbonatos;-;=;167;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Carbonatos;-;<;1.2;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Sulfatos;-;=;10;mg/l;;-;-;0
SC26;12/01/2022;10:50;MANANTIALES;Aguas (Fisicoquímica);Cloruros;-;=;9.2;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Ortofosfato;-;=;0.051;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);pH;-;=;8;U. pH.;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Conductividad;-;=;300;µS/cm;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Residuo seco;-;<;200;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Sodio;-;=;5.9;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Potasio;-;=;0.74;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Calcio;-;=;57;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Magnesio;-;=;3.2;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Cloruros;-;=;10.4;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Sulfatos;-;=;16;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Carbonatos;-;<;1.2;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Bicarbonatos;-;=;169;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Nitrato;-;=;5.8;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
SC26;03/02/2022;09:10;MANANTIALES;Aguas (Fisicoquímica);Temperatura del agua;-;=;11.6;ºC;;-;-;0
