Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Quality;Situation;Level;Depth
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Calcio;-;=;150;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Magnesio;-;=;30;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Sodio;-;=;44;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Residuo seco;-;=;700;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Conductividad;-;=;1044;µS/cm;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);pH;-;=;7.7;U. pH.;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Temperatura del agua;-;=;10.8;ºC;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Ortofosfato;-;=;0.031;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Amonio;-;<;0.064;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Nitrito;-;<;0.02;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Nitrato;-;=;67;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Bicarbonatos;-;=;357;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Carbonatos;-;<;1.2;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Sulfatos;-;=;110;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Cloruros;-;=;100;mg/l;;-;-;0
ZA-1;02/02/2022;11:15;SONDEOS;Aguas (Fisicoquímica);Potasio;-;=;3.7;mg/l;;-;-;0
