Code;Sample Point;Type;Territory;Municipality;XETRS89;YETRS89;ZETRS89;Water range;Water range type;Basin;Section;Subgroup
CT01;Piezómetro Malta;SONDEOS;Bizkaia;Gernika-Lumo;526442;4795580;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT02;Piezómetro Marcos Ormaetxea;SONDEOS;Bizkaia;Gernika-Lumo;526505;4795747;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)#Aguas (Piezometría)
CT03;Piezómetro Txarterina;SONDEOS;Bizkaia;Gernika-Lumo;526205;4796170;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT04;Piezómetro EuskoTren;SONDEOS;Bizkaia;Gernika-Lumo;526345;4795917;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)#Aguas (Piezometría)
CT05;Sondeo Eusko Trenbideak;SONDEOS;Bizkaia;Gernika-Lumo;526343;4795904;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT06;Piezómetro Rentería-2;SONDEOS;Bizkaia;Gernika-Lumo;526238;4796171;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT07;Piezómetro Estación;SONDEOS;Bizkaia;Gernika-Lumo;526283;4795695;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT08;Piezómetro Gernika-V1;SONDEOS;Bizkaia;Gernika-Lumo;526368;4796039;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT09;Piezómetro Gernika-V2;SONDEOS;Bizkaia;Gernika-Lumo;526357;4795997;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT10;Piezómetro Gernika-V3;SONDEOS;Bizkaia;Gernika-Lumo;526343;4795882;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT11;Piezómetro Gernika-V4;SONDEOS;Bizkaia;Gernika-Lumo;526328;4795834;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT12;Piezómetro Gernika-V5;SONDEOS;Bizkaia;Gernika-Lumo;526309;4795764;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT13;Piezómetro Ajangiz-2;SONDEOS;Bizkaia;Ajangiz;526784;4795204;0;Gernika;No aplicable;Oka;Oka 1;Aguas (Fisicoquímica)
CT14;Piezómetro Ajangiz-3;SONDEOS;Bizkaia;Ajangiz;526512;4794939;0;Gernika;No aplicable;Oka;Oka 1;Aguas (Fisicoquímica)#Aguas (Piezometría)
CT15;Sondeo Malta-1;SONDEOS;Bizkaia;Gernika-Lumo;526435;4795522;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
CT26;Dalia;SONDEOS;Bizkaia;Gernika-Lumo;526451;4795893;4.6;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
GSN2;Saneamiento GSN-2;Control de vertidos puntuales. Efluente;Bizkaia;Gernika-Lumo;526260;4795558;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
L-1;Cabriana (L-1);MANANTIALES;Araba/Álava;Lantarón;501770;4728322;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Fisicoquímica)
L-16;Berozalejos (L-16);RÍOS;Araba/Álava;Lantarón;498801;4734119;0;Sinclinal de Trebiño;No aplicable;Ebro;El Lago 2;Aguas (Fisicoquímica)
L-17;Santamancos (L-17);RÍOS;Araba/Álava;Lantarón;498695;4732785;0;Sinclinal de Trebiño;No aplicable;Ebro;El Lago 2;Aguas (Fisicoquímica)
L-18;El Calce (L-18);RÍOS;Araba/Álava;Lantarón;500832;4732836;0;Sinclinal de Trebiño;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Fisicoquímica)
L-19;Porretal (L-19);RÍOS;Araba/Álava;Lantarón;502409;4730730;0;Sinclinal de Trebiño;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Fisicoquímica)
L-3;Moros (L-3);RÍOS;Araba/Álava;Lantarón;501454;4729314;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Fisicoquímica)
Losal;Bombeo Losal;Control de vertidos puntuales. Efluente;Bizkaia;Gernika-Lumo;526514;4795948;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
PZSUB5;Piezómetro Subijana-5;SONDEOS;Araba/Álava;Erriberagoitia/Ribera Alta;508686;4741004;0;Calizas de Subijana;No aplicable;Baia;Baias 9;Aguas (Piezometría)
S-2;Campas (S-2);SONDEOS;Araba/Álava;Lantarón;501593;4728703;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Fisicoquímica)
S-3;Voluntarios (S-3);SONDEOS;Araba/Álava;Lantarón;501454;4728504;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Fisicoquímica)
S-5;Fuente Honda (S-5);SONDEOS;Araba/Álava;Lantarón;501316;4728770;0;Aluvial de Miranda de Ebro;No aplicable;Ebro;Zona drenante a Río Ebro desde la Presa de Puentelarrá hasta el inicio del tramo modificado de Miranda de Ebro.;Aguas (Fisicoquímica)
SA01;Manantial Peñacerrada (Foronómico);MANANTIALES;Araba/Álava;Peñacerrada-Urizaharra;522588;4721748;0;Sierra de Cantabria;No aplicable;Inglares;Inglares 4;Aguas (Hidrología)
SA02;Manantial El Soto (Foronómico);MANANTIALES;Araba/Álava;Bernedo;539555;4719325;0;Sierra de Cantabria;No aplicable;Ega;Ega 3;Aguas (Hidrología)
