,B,1,1.1,1.2,1.3,balance
0,R,1,1,1,2,0
1,R,1,1,1,3,0
2,R,1,1,1,4,0
3,R,1,1,1,5,0
4,R,1,1,2,1,0
5,R,1,1,2,2,0
6,R,1,1,2,3,0
7,R,1,1,2,4,0
8,R,1,1,2,5,0
9,R,1,1,3,1,0
10,R,1,1,3,2,0
11,R,1,1,3,3,0
12,R,1,1,3,4,0
13,R,1,1,3,5,0
14,R,1,1,4,1,0
15,R,1,1,4,2,0
16,R,1,1,4,3,0
17,R,1,1,4,4,0
18,R,1,1,4,5,0
19,R,1,1,5,1,0
20,R,1,1,5,2,0
21,R,1,1,5,3,0
22,R,1,1,5,4,0
23,R,1,1,5,5,0
24,L,1,2,1,1,0
25,B,1,2,1,2,1
26,R,1,2,1,3,0
27,R,1,2,1,4,0
28,R,1,2,1,5,0
29,B,1,2,2,1,1
30,R,1,2,2,2,0
31,R,1,2,2,3,0
32,R,1,2,2,4,0
33,R,1,2,2,5,0
34,R,1,2,3,1,0
35,R,1,2,3,2,0
36,R,1,2,3,3,0
37,R,1,2,3,4,0
38,R,1,2,3,5,0
39,R,1,2,4,1,0
40,R,1,2,4,2,0
41,R,1,2,4,3,0
42,R,1,2,4,4,0
43,R,1,2,4,5,0
44,R,1,2,5,1,0
45,R,1,2,5,2,0
46,R,1,2,5,3,0
47,R,1,2,5,4,0
48,R,1,2,5,5,0
49,L,1,3,1,1,0
50,L,1,3,1,2,0
51,B,1,3,1,3,1
52,R,1,3,1,4,0
53,R,1,3,1,5,0
54,L,1,3,2,1,0
55,R,1,3,2,2,0
56,R,1,3,2,3,0
57,R,1,3,2,4,0
58,R,1,3,2,5,0
59,B,1,3,3,1,1
60,R,1,3,3,2,0
61,R,1,3,3,3,0
62,R,1,3,3,4,0
63,R,1,3,3,5,0
64,R,1,3,4,1,0
65,R,1,3,4,2,0
66,R,1,3,4,3,0
67,R,1,3,4,4,0
68,R,1,3,4,5,0
69,R,1,3,5,1,0
70,R,1,3,5,2,0
71,R,1,3,5,3,0
72,R,1,3,5,4,0
73,R,1,3,5,5,0
74,L,1,4,1,1,0
75,L,1,4,1,2,0
76,L,1,4,1,3,0
77,B,1,4,1,4,1
78,R,1,4,1,5,0
79,L,1,4,2,1,0
80,B,1,4,2,2,1
81,R,1,4,2,3,0
82,R,1,4,2,4,0
83,R,1,4,2,5,0
84,L,1,4,3,1,0
85,R,1,4,3,2,0
86,R,1,4,3,3,0
87,R,1,4,3,4,0
88,R,1,4,3,5,0
89,B,1,4,4,1,1
90,R,1,4,4,2,0
91,R,1,4,4,3,0
92,R,1,4,4,4,0
93,R,1,4,4,5,0
94,R,1,4,5,1,0
95,R,1,4,5,2,0
96,R,1,4,5,3,0
97,R,1,4,5,4,0
98,R,1,4,5,5,0
99,L,1,5,1,1,0
100,L,1,5,1,2,0
101,L,1,5,1,3,0
102,L,1,5,1,4,0
103,B,1,5,1,5,1
104,L,1,5,2,1,0
105,L,1,5,2,2,0
106,R,1,5,2,3,0
107,R,1,5,2,4,0
108,R,1,5,2,5,0
109,L,1,5,3,1,0
110,R,1,5,3,2,0
111,R,1,5,3,3,0
112,R,1,5,3,4,0
113,R,1,5,3,5,0
114,L,1,5,4,1,0
115,R,1,5,4,2,0
116,R,1,5,4,3,0
117,R,1,5,4,4,0
118,R,1,5,4,5,0
119,B,1,5,5,1,1
120,R,1,5,5,2,0
121,R,1,5,5,3,0
122,R,1,5,5,4,0
123,R,1,5,5,5,0
124,L,2,1,1,1,0
125,B,2,1,1,2,1
126,R,2,1,1,3,0
127,R,2,1,1,4,0
128,R,2,1,1,5,0
129,B,2,1,2,1,1
130,R,2,1,2,2,0
131,R,2,1,2,3,0
132,R,2,1,2,4,0
133,R,2,1,2,5,0
134,R,2,1,3,1,0
135,R,2,1,3,2,0
136,R,2,1,3,3,0
137,R,2,1,3,4,0
138,R,2,1,3,5,0
139,R,2,1,4,1,0
140,R,2,1,4,2,0
141,R,2,1,4,3,0
142,R,2,1,4,4,0
143,R,2,1,4,5,0
144,R,2,1,5,1,0
145,R,2,1,5,2,0
146,R,2,1,5,3,0
147,R,2,1,5,4,0
148,R,2,1,5,5,0
149,L,2,2,1,1,0
150,L,2,2,1,2,0
151,L,2,2,1,3,0
152,B,2,2,1,4,1
153,R,2,2,1,5,0
154,L,2,2,2,1,0
155,B,2,2,2,2,1
156,R,2,2,2,3,0
157,R,2,2,2,4,0
158,R,2,2,2,5,0
159,L,2,2,3,1,0
160,R,2,2,3,2,0
161,R,2,2,3,3,0
162,R,2,2,3,4,0
163,R,2,2,3,5,0
164,B,2,2,4,1,1
165,R,2,2,4,2,0
166,R,2,2,4,3,0
167,R,2,2,4,4,0
168,R,2,2,4,5,0
169,R,2,2,5,1,0
170,R,2,2,5,2,0
171,R,2,2,5,3,0
172,R,2,2,5,4,0
173,R,2,2,5,5,0
174,L,2,3,1,1,0
175,L,2,3,1,2,0
176,L,2,3,1,3,0
177,L,2,3,1,4,0
178,L,2,3,1,5,0
179,L,2,3,2,1,0
180,L,2,3,2,2,0
181,B,2,3,2,3,1
182,R,2,3,2,4,0
183,R,2,3,2,5,0
184,L,2,3,3,1,0
185,B,2,3,3,2,1
186,R,2,3,3,3,0
187,R,2,3,3,4,0
188,R,2,3,3,5,0
189,L,2,3,4,1,0
190,R,2,3,4,2,0
191,R,2,3,4,3,0
192,R,2,3,4,4,0
193,R,2,3,4,5,0
194,L,2,3,5,1,0
195,R,2,3,5,2,0
196,R,2,3,5,3,0
197,R,2,3,5,4,0
198,R,2,3,5,5,0
199,L,2,4,1,1,0
200,L,2,4,1,2,0
201,L,2,4,1,3,0
202,L,2,4,1,4,0
203,L,2,4,1,5,0
204,L,2,4,2,1,0
205,L,2,4,2,2,0
206,L,2,4,2,3,0
207,B,2,4,2,4,1
208,R,2,4,2,5,0
209,L,2,4,3,1,0
210,L,2,4,3,2,0
211,R,2,4,3,3,0
212,R,2,4,3,4,0
213,R,2,4,3,5,0
214,L,2,4,4,1,0
215,B,2,4,4,2,1
216,R,2,4,4,3,0
217,R,2,4,4,4,0
218,R,2,4,4,5,0
219,L,2,4,5,1,0
220,R,2,4,5,2,0
221,R,2,4,5,3,0
222,R,2,4,5,4,0
223,R,2,4,5,5,0
224,L,2,5,1,1,0
225,L,2,5,1,2,0
226,L,2,5,1,3,0
227,L,2,5,1,4,0
228,L,2,5,1,5,0
229,L,2,5,2,1,0
230,L,2,5,2,2,0
231,L,2,5,2,3,0
232,L,2,5,2,4,0
233,B,2,5,2,5,1
234,L,2,5,3,1,0
235,L,2,5,3,2,0
236,L,2,5,3,3,0
237,R,2,5,3,4,0
238,R,2,5,3,5,0
239,L,2,5,4,1,0
240,L,2,5,4,2,0
241,R,2,5,4,3,0
242,R,2,5,4,4,0
243,R,2,5,4,5,0
244,L,2,5,5,1,0
245,B,2,5,5,2,1
246,R,2,5,5,3,0
247,R,2,5,5,4,0
248,R,2,5,5,5,0
249,L,3,1,1,1,0
250,L,3,1,1,2,0
251,B,3,1,1,3,1
252,R,3,1,1,4,0
253,R,3,1,1,5,0
254,L,3,1,2,1,0
255,R,3,1,2,2,0
256,R,3,1,2,3,0
257,R,3,1,2,4,0
258,R,3,1,2,5,0
259,B,3,1,3,1,1
260,R,3,1,3,2,0
261,R,3,1,3,3,0
262,R,3,1,3,4,0
263,R,3,1,3,5,0
264,R,3,1,4,1,0
265,R,3,1,4,2,0
266,R,3,1,4,3,0
267,R,3,1,4,4,0
268,R,3,1,4,5,0
269,R,3,1,5,1,0
270,R,3,1,5,2,0
271,R,3,1,5,3,0
272,R,3,1,5,4,0
273,R,3,1,5,5,0
274,L,3,2,1,1,0
275,L,3,2,1,2,0
276,L,3,2,1,3,0
277,L,3,2,1,4,0
278,L,3,2,1,5,0
279,L,3,2,2,1,0
280,L,3,2,2,2,0
281,B,3,2,2,3,1
282,R,3,2,2,4,0
283,R,3,2,2,5,0
284,L,3,2,3,1,0
285,B,3,2,3,2,1
286,R,3,2,3,3,0
287,R,3,2,3,4,0
288,R,3,2,3,5,0
289,L,3,2,4,1,0
290,R,3,2,4,2,0
291,R,3,2,4,3,0
292,R,3,2,4,4,0
293,R,3,2,4,5,0
294,L,3,2,5,1,0
295,R,3,2,5,2,0
296,R,3,2,5,3,0
297,R,3,2,5,4,0
298,R,3,2,5,5,0
299,L,3,3,1,1,0
300,L,3,3,1,2,0
301,L,3,3,1,3,0
302,L,3,3,1,4,0
303,L,3,3,1,5,0
304,L,3,3,2,1,0
305,L,3,3,2,2,0
306,L,3,3,2,3,0
307,L,3,3,2,4,0
308,R,3,3,2,5,0
309,L,3,3,3,1,0
310,L,3,3,3,2,0
311,B,3,3,3,3,1
312,R,3,3,3,4,0
313,R,3,3,3,5,0
314,L,3,3,4,1,0
315,L,3,3,4,2,0
316,R,3,3,4,3,0
317,R,3,3,4,4,0
318,R,3,3,4,5,0
319,L,3,3,5,1,0
320,R,3,3,5,2,0
321,R,3,3,5,3,0
322,R,3,3,5,4,0
323,R,3,3,5,5,0
324,L,3,4,1,1,0
325,L,3,4,1,2,0
326,L,3,4,1,3,0
327,L,3,4,1,4,0
328,L,3,4,1,5,0
329,L,3,4,2,1,0
330,L,3,4,2,2,0
331,L,3,4,2,3,0
332,L,3,4,2,4,0
333,L,3,4,2,5,0
334,L,3,4,3,1,0
335,L,3,4,3,2,0
336,L,3,4,3,3,0
