Id,SeriousDlqin2yrs
0,1
9,0
17,0
18,0
24,0
26,0
31,0
34,0
35,0
37,0
38,0
52,0
54,0
55,0
58,0
62,0
68,0
72,0
74,1
76,0
79,0
80,0
81,0
87,0
89,0
91,0
93,0
95,0
96,0
102,0
103,0
104,0
105,0
107,0
110,0
111,0
112,0
114,0
116,0
118,0
122,0
126,0
129,0
131,0
132,0
135,0
137,0
140,0
146,0
148,0
152,0
153,0
156,0
159,0
166,0
167,0
169,0
170,0
172,0
173,0
175,0
181,0
182,0
184,1
188,0
190,0
192,0
196,0
197,0
204,0
205,0
206,0
208,0
210,0
212,0
218,0
226,1
230,0
233,0
236,0
237,0
243,0
244,0
247,0
248,0
259,0
261,0
263,0
264,0
265,0
274,0
279,0
282,0
290,0
295,0
303,0
306,0
307,0
310,0
311,0
320,0
323,0
327,0
329,0
335,0
338,0
340,0
352,0
359,0
360,0
367,0
371,0
372,0
376,0
377,1
378,0
381,0
384,0
386,0
388,0
392,0
395,0
397,0
399,0
400,0
402,0
404,0
408,0
411,0
412,0
414,0
419,0
420,1
422,0
427,0
428,0
432,0
433,0
434,0
440,0
441,0
448,0
449,0
452,0
454,0
456,0
457,0
459,0
466,0
467,0
469,1
472,0
475,0
479,0
484,0
485,0
489,0
494,0
502,0
505,1
506,0
509,0
512,0
513,1
515,0
516,0
517,0
519,0
520,1
523,0
526,0
527,0
528,1
531,0
532,0
533,0
536,1
537,0
540,0
543,0
547,0
549,0
555,0
556,0
558,0
564,0
567,0
568,0
569,0
576,0
579,0
582,0
586,0
589,0
592,0
595,0
597,0
598,0
601,0
605,0
610,0
612,0
616,0
622,0
623,0
625,0
626,0
627,0
629,0
631,0
634,0
639,0
643,0
649,0
656,0
659,0
668,0
669,0
672,0
675,0
676,0
679,0
681,0
683,0
684,1
688,0
695,0
697,1
698,0
701,0
703,0
710,0
716,0
717,0
720,0
725,0
727,0
733,0
735,0
736,0
737,0
738,0
739,1
743,0
744,0
745,0
746,0
749,0
758,0
761,0
766,0
771,0
772,0
777,0
782,0
784,0
789,1
792,0
795,0
796,0
798,0
799,0
805,0
814,0
823,0
824,0
825,0
836,0
838,0
839,0
840,0
841,0
844,0
848,0
852,0
856,1
857,0
858,0
862,0
866,0
870,0
875,0
876,0
879,0
880,0
883,0
888,0
894,0
899,0
901,0
905,0
906,0
912,0
919,1
921,1
924,0
927,0
928,0
929,0
930,0
932,0
935,0
940,0
944,0
945,0
948,0
952,0
972,0
974,0
981,0
994,0
995,0
996,0
997,0
1000,0
1001,0
1003,0
1010,0
1012,0
1013,0
1022,0
1023,0
1024,0
1031,0
1039,0
1044,1
1045,0
1051,0
1053,0
1056,0
1065,0
1066,0
1068,0
1071,0
1072,0
1073,0
1078,0
1079,0
1084,1
1085,0
1086,0
1090,0
1094,0
1095,0
1097,0
1101,0
1103,0
1108,0
1110,0
1111,0
1116,0
1122,0
1127,0
1131,0
1132,0
1137,0
1141,0
1144,0
1152,0
1154,0
1156,0
1159,0
1160,0
1161,0
1167,1
1169,0
1171,0
1175,0
1177,0
1178,0
1179,0
1185,0
1187,0
1188,0
1189,0
1197,0
1206,0
1218,0
1220,0
1222,0
1229,0
1234,0
1237,0
1238,0
1240,0
1244,0
1248,0
1249,0
1260,1
1262,0
1266,1
1270,0
1271,0
1273,0
1274,0
1277,1
1278,0
1279,0
1285,1
1289,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,1
1305,0
1309,0
1312,0
1314,0
1322,0
1327,0
1330,0
1332,0
1335,0
1340,0
1348,0
1349,0
1351,0
1352,0
1354,0
1355,0
1356,0
1357,0
1362,0
1363,0
1364,0
1365,0
1366,0
1369,0
1373,0
1375,0
1377,0
1384,0
1387,0
1388,0
1389,0
1390,0
1391,0
1394,0
1395,0
1397,0
1404,1
1405,0
1407,0
1409,0
1412,0
1416,0
1417,0
1418,0
1422,1
1426,0
1427,0
1435,0
1442,0
1444,0
1445,0
1447,0
1448,0
1454,0
1455,0
1458,0
1461,0
1466,0
1468,0
1470,0
1474,0
1478,0
1479,0
1482,0
1483,0
1490,0
1494,0
1496,0
1498,0
1505,0
1508,0
1509,0
1510,0
1511,1
1518,0
1523,0
1534,0
1536,0
1558,0
1561,0
1563,0
1564,0
1572,0
1574,0
1576,0
1577,0
1581,0
1582,0
1586,0
1587,0
1595,0
1597,0
1598,0
1600,0
1605,0
1606,0
1608,0
1610,0
1611,0
1614,1
1615,0
1617,0
1619,0
1620,0
1624,0
1625,0
1630,0
1634,0
1635,0
1636,0
1642,0
1649,0
1650,0
1651,0
1653,0
1659,0
1667,0
1668,0
1669,0
1673,0
1674,0
1675,0
1677,0
1678,0
1681,0
1682,0
1691,0
1693,0
1698,0
1701,0
1706,0
1707,0
1709,0
1712,0
1713,1
1718,0
1720,0
1724,0
1730,1
1738,0
1740,0
1742,0
1747,0
1749,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1760,0
1767,0
1768,0
1775,0
1781,0
1785,0
1787,0
1789,1
1792,0
1795,0
1799,0
1801,0
1803,1
1804,0
1807,0
1812,0
1813,0
1815,0
1819,0
1823,0
1825,0
1826,1
1827,0
1828,0
1834,0
1835,0
1836,0
1844,0
1847,0
1851,0
1852,0
1854,0
1855,0
1859,0
1862,0
1875,0
1876,0
1877,1
1878,0
1880,0
1882,0
1884,0
1886,0
1887,0
1888,0
1889,0
1891,0
1895,0
1901,0
1905,0
1907,0
1908,0
1909,1
1919,0
1923,0
1929,0
1933,0
1934,0
1936,0
1937,0
1938,0
1945,0
1946,0
1948,0
1951,0
1952,0
1955,1
1957,1
1960,0
1961,0
1966,0
1969,0
1971,0
1972,0
1978,0
1982,0
1983,0
1984,0
1989,0
1990,0
1993,0
1996,0
1997,0
1998,0
2002,0
2003,0
2005,0
2011,0
2020,0
2021,0
2024,1
2025,0
2030,0
2032,1
2035,0
2036,0
2038,0
2039,0
2041,0
2042,1
2052,0
2055,0
2060,0
2063,0
2064,0
2076,0
2077,0
2079,0
2084,0
2095,0
2099,0
2100,0
2109,0
2114,0
2115,0
2122,0
2127,0
2132,0
2136,0
2137,0
2138,0
2141,0
2142,0
2143,0
2144,0
2147,0
2154,0
2157,0
2162,0
2163,0
2166,0
2169,0
2171,0
2172,0
2175,0
2176,0
2177,0
2184,0
2185,0
2186,0
2187,0
2190,0
2191,0
2194,0
2199,0
2200,0
2205,0
2207,0
2209,0
2211,0
2220,0
2224,0
2225,0
2228,0
2231,0
2233,0
2234,0
2238,0
2239,0
2240,0
2246,0
2250,0
2251,0
2254,0
2257,0
2263,0
2270,0
2272,0
2277,1
2278,1
2280,1
2282,0
2284,0
2289,0
2293,0
2297,0
2299,0
2308,0
2313,1
2314,1
2315,0
2325,0
2327,0
2330,0
2335,0
2339,1
2340,0
2341,0
2344,0
2345,0
2346,0
2348,0
2351,0
2357,0
2365,0
2370,0
2379,0
2381,0
2383,0
2386,0
2394,0
2397,0
2401,0
2402,0
2403,0
2409,0
2413,0
2414,0
2420,1
2421,0
2422,0
2426,0
2428,0
2433,0
2439,0
2448,0
2451,0
2453,0
2458,0
2460,0
2467,0
2470,0
2472,0
2478,0
2482,0
2483,0
2492,0
2493,0
2498,0
2501,0
2502,0
2504,0
2508,0
2509,0
2512,0
2516,0
2526,0
2535,0
2537,0
2542,0
2543,0
2547,0
2557,0
2559,1
2560,1
2561,0
2569,0
2570,0
2571,0
2574,0
2584,0
2591,0
2594,0
2597,0
2601,0
2605,0
2608,0
2609,0
2613,0
2624,0
2626,0
2628,0
2629,0
2630,0
2632,0
2634,0
2642,0
2650,0
2652,0
2659,0
2661,0
2662,0
2663,0
2668,0
2669,0
2674,0
2675,0
2677,0
2681,0
2685,0
2690,0
2696,0
2703,1
2705,0
2707,1
2714,0
2719,0
2720,0
2726,0
2728,0
2730,0
2732,0
2733,0
2734,0
2738,0
2739,0
2742,0
2745,0
2748,0
2754,0
2758,0
2761,0
2767,0
2771,0
2775,0
2777,0
2782,0
2787,0
2788,0
2794,0
2795,0
2803,0
2806,0
2815,0
2823,1
2826,0
2829,0
2830,0
2832,0
2838,0
2842,0
2848,0
2850,0
2852,0
2855,0
2856,0
2860,0
2861,0
2862,0
2863,0
2864,0
2865,0
2868,0
2874,0
2876,0
2877,0
2878,0
2879,0
2880,0
2884,0
2887,0
2890,0
2891,0
2892,0
2893,1
2894,0
2901,0
2909,0
2910,0
2912,0
2913,0
2916,0
2924,0
2928,0
2930,0
2931,1
2932,0
2936,0
2942,0
2943,0
2944,1
2946,0
2952,0
2956,0
2961,0
2963,0
2964,0
2967,0
2975,0
2978,0
2984,0
2988,0
2990,0
2991,0
2992,0
2995,0
2996,0
2997,0
2999,0
3003,0
3006,0
3010,1
3011,0
3015,0
3019,1
3022,0
3023,0
3029,0
3034,0
3035,0
3042,0
3051,1
3054,0
3063,0
3065,0
3066,0
3073,0
3074,0
3076,0
3077,0
3078,1
3085,0
3089,0
3102,1
3104,0
3107,0
3114,0
3115,0
3116,0
3119,0
3120,0
3133,0
3135,0
3137,0
3141,0
3143,1
3146,0
3147,0
3150,0
3151,0
3152,0
3157,0
3158,0
3159,0
3160,0
3164,0
3165,0
3168,0
3172,0
3173,0
3176,0
3183,0
3185,0
3187,0
3188,0
3189,0
3193,0
3197,0
3201,1
3203,0
3212,0
3214,1
3220,0
3223,0
3228,0
3229,0
3230,0
3231,0
3233,0
3236,0
3237,0
3241,0
3247,0
3252,0
3262,0
3269,0
3276,0
3278,0
3283,0
3287,0
3293,0
3295,0
3296,0
3299,0
3304,0
3307,0
3308,0
3309,0
3314,0
3317,1
3319,0
3325,0
3329,0
3330,0
3332,0
3333,0
3338,0
3339,0
3340,1
3343,0
3344,0
3356,0
3357,0
3360,0
3361,0
3364,0
3369,0
3371,0
3373,0
3374,0
3378,0
3382,0
3383,0
3384,0
3385,0
3386,0
3387,1
3389,0
3392,0
3396,0
3400,1
3404,0
3409,0
3411,0
3412,0
3413,0
3414,0
3416,1
3417,0
3420,1
3423,0
3425,0
3429,0
3430,0
3437,0
3438,0
3442,0
3444,0
3449,0
3450,0
3453,0
3456,0
3461,1
3463,0
3465,0
3467,1
3473,0
3476,0
3487,0
3489,1
3493,0
3494,0
3496,0
3498,0
3499,0
3503,0
3508,1
3513,0
3518,0
3529,0
3530,0
3535,0
3536,0
3546,1
3547,0
3550,0
3552,0
3556,0
3560,0
3562,0
3563,0
3565,0
3566,0
3570,0
3571,0
3580,0
3582,0
3585,0
3588,0
3589,0
3590,0
3595,0
3601,1
3607,0
3613,0
3614,0
3622,1
3623,0
3624,0
3627,0
3628,0
3635,0
3640,0
3642,0
3654,0
3659,0
3660,0
3661,0
3662,0
3663,0
3668,0
3670,0
3694,0
3696,0
3698,0
3701,0
3706,0
3707,0
3711,1
3712,0
3713,0
3715,0
3718,0
3719,0
3720,0
3721,0
3723,0
3724,1
3726,0
3727,0
3734,0
3735,0
3737,0
3740,0
3742,0
3751,1
3756,0
3757,0
3758,0
3763,0
3766,1
3768,0
3773,0
3775,1
3780,0
3784,0
3790,0
3796,0
3797,0
3798,0
3801,1
3808,0
3809,0
3812,1
3815,1
3826,0
3827,0
3828,0
3831,0
3834,0
3839,0
3840,0
3841,0
3843,0
3844,0
3846,0
3848,0
3851,0
3854,0
3855,0
3857,0
3859,1
3860,0
3861,0
3863,0
3864,0
3865,1
3870,0
3872,0
3873,1
3878,0
3881,0
3882,0
3890,0
3893,0
3894,0
3900,0
3902,0
3906,0
3910,0
3917,1
3921,0
3924,0
3929,1
3936,0
3938,0
3943,0
3944,0
3948,0
3955,0
3959,0
3968,0
3969,0
3970,0
3974,0
3975,0
3976,0
3977,0
3980,0
3982,0
3983,0
3984,0
3985,0
3987,0
3991,0
3994,0
3998,0
4003,0
4007,1
4008,0
4009,0
4014,0
4015,0
4016,0
4018,1
4021,0
4026,0
4029,0
4032,0
4035,0
4036,0
4039,0
4040,0
4044,0
4046,0
4050,0
4055,0
4058,0
4059,0
4064,0
4070,0
4072,0
4074,0
4077,0
4089,0
4092,0
4094,0
4096,0
4099,0
4110,0
4113,0
4115,0
4123,0
4124,0
4125,0
4127,0
4130,0
4131,0
4135,0
4148,0
4149,0
4157,1
4158,0
4159,0
4165,0
4168,0
4170,0
4171,0
4176,0
4185,0
4190,0
4191,0
4195,0
4197,0
4199,0
4202,0
4205,0
4216,0
4220,0
4224,0
4229,0
4238,0
4239,0
4244,0
4245,0
4246,1
4251,1
4258,0
4262,0
4267,0
4268,0
4281,0
4285,0
4291,0
4294,0
4295,0
4297,0
4306,0
4308,0
4311,0
4319,0
